# MIDI File Information
Filename,Beethoven__Moonlight_Sonata_3rd_mvt.mid
Duration (seconds),521.82
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
377,46.0050,46.1257,0.1207,47,B2,33,33,0
378,46.0785,46.1572,0.0787,51,D#3,33,33,0
379,46.1677,46.3006,0.1330,43,G2,34,34,0
380,46.2849,46.3846,0.0997,51,D#3,34,34,0
381,46.4056,46.5263,0.1207,43,G2,36,36,0
382,46.5088,46.6191,0.1102,51,D#3,36,36,0
383,46.6365,46.7660,0.1295,43,G2,35,35,0
384,46.7188,46.8185,0.0997,51,D#3,34,34,0
385,46.8272,46.9287,0.1015,43,G2,33,33,0
386,46.9235,47.0232,0.0997,51,D#3,34,34,0
387,47.0459,47.1351,0.0892,43,G2,35,35,0
388,47.1421,47.2104,0.0682,51,D#3,35,35,0
389,47.2121,47.3136,0.1015,43,G2,34,34,0
390,47.3521,47.4518,0.0997,51,D#3,33,33,0
391,47.4221,47.5235,0.1015,43,G2,33,33,0
392,47.5305,47.6338,0.1032,51,D#3,34,34,0
393,47.6128,47.7142,0.1015,43,G2,35,35,0
394,47.6967,47.8087,0.1120,51,D#3,35,35,0
395,47.8419,47.9959,0.1540,42,F#2,37,37,0
396,47.9592,48.0991,0.1400,51,D#3,38,38,0
397,48.0606,48.2216,0.1610,44,G#2,38,38,0
398,48.1761,48.2776,0.1015,51,D#3,39,39,0
399,48.2793,48.4088,0.1295,42,F#2,40,40,0
400,48.3510,48.4525,0.1015,51,D#3,41,41,0
401,48.4630,48.6362,0.1732,44,G#2,42,42,0
402,48.5470,48.6589,0.1120,51,D#3,43,43,0
403,48.6432,48.8584,0.2152,40,E2,43,43,0
404,48.7552,48.8881,0.1330,49,C#3,43,43,0
405,48.9109,49.0316,0.1207,44,G#2,41,41,0
406,48.9739,49.1156,0.1417,49,C#3,41,41,0
407,49.0911,49.2363,0.1452,40,E2,40,40,0
408,49.1873,49.2975,0.1102,49,C#3,39,39,0
409,49.2905,49.4532,0.1627,44,G#2,38,38,0
410,49.3867,49.5197,0.1330,49,C#3,38,38,0
411,49.4305,49.6771,0.2467,40,E2,39,39,0
412,49.6089,49.8049,0.1959,49,C#3,40,40,0
413,49.7331,49.9081,0.1749,42,F#2,41,41,0
414,49.8503,50.0218,0.1714,39,D#2,42,42,0
415,50.0358,50.1373,0.1015,47,B2,41,41,0
416,50.1285,50.2702,0.1417,42,F#2,40,40,0
417,50.2545,50.3437,0.0892,47,B2,39,39,0
418,50.3472,50.4802,0.1330,39,D#2,38,38,0
419,50.4609,50.5519,0.0909,47,B2,37,37,0
420,50.5623,50.6848,0.1224,42,F#2,37,37,0
421,50.6778,50.7565,0.0787,47,B2,36,36,0
422,50.7932,50.9663,0.1731,39,D#2,36,36,0
423,50.8754,50.9646,0.0892,47,B2,37,37,0
424,50.9873,51.1202,0.1329,42,F#2,38,38,0
425,51.0940,51.1919,0.0979,47,B2,39,39,0
426,51.2094,51.3633,0.1539,38,D2,40,40,0
427,51.3353,51.4472,0.1119,47,B2,41,41,0
428,51.4315,51.5644,0.1329,40,E2,42,42,0
429,51.5661,51.6553,0.0892,47,B2,43,43,0
430,51.6413,51.7847,0.1434,38,D2,44,44,0
431,51.7358,51.8355,0.0997,47,B2,44,44,0
432,51.7882,51.9719,0.1836,40,E2,45,45,0
433,51.9334,52.0331,0.0997,47,B2,46,46,0
434,52.0366,52.1782,0.1417,37,C#2,47,47,0
435,52.1625,52.3041,0.1417,45,A2,46,46,0
436,52.2884,52.4073,0.1189,40,E2,45,45,0
437,52.3881,52.4685,0.0804,45,A2,44,44,0
438,52.4510,52.5927,0.1417,37,C#2,44,44,0
439,52.5769,52.6661,0.0892,45,A2,43,43,0
440,52.6504,52.8200,0.1696,40,E2,42,42,0
441,52.7501,52.8515,0.1014,45,A2,41,41,0
442,52.8445,53.0474,0.2029,37,C#2,41,41,0
443,52.9792,53.1086,0.1294,46,A#2,39,39,0
444,53.0001,53.1313,0.1312,39,D#2,39,39,0
