# Instrument 1: Unnamed
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
22,13.8000,14.4000,0.6000,55,G3,127,127,0
23,14.4000,14.8800,0.4800,48,C3,127,127,0
24,14.8800,15.4800,0.6000,59,B3,127,127,0
25,15.4800,16.0800,0.6000,57,A3,127,127,0
26,16.0800,16.6800,0.6000,55,G3,127,127,0
27,16.6800,17.2200,0.5400,53,F3,127,127,0
28,17.2200,17.8200,0.6000,50,D3,127,127,0
29,19.2600,22.6200,3.3600,50,D3,127,127,0
30,23.1600,24.0600,0.9000,50,D3,127,127,0
31,24.0600,25.5600,1.5000,50,D3,127,127,0
32,25.5600,25.9800,0.4200,58,A#3,127,127,0
33,26.1000,27.3000,1.2000,50,D3,127,127,0
34,28.7400,29.0400,0.3000,50,D3,127,127,0
35,29.6400,29.9400,0.3000,50,D3,127,127,0
36,30.2400,30.4200,0.1800,50,D3,127,127,0
37,30.7800,31.1400,0.3600,50,D3,127,127,0
38,31.9200,32.2800,0.3600,50,D3,127,127,0
39,32.4600,32.8200,0.3600,67,G4,127,127,0
40,32.8200,33.0000,0.1800,59,B3,127,127,0
41,33.0000,33.3600,0.3600,48,C3,127,127,0
42,33.3600,33.5400,0.1800,50,D3,127,127,0
43,33.5400,33.9000,0.3600,51,D#3,127,127,0
44,33.9000,34.0800,0.1800,53,F3,127,127,0
45,34.0800,34.4400,0.3600,55,G3,127,127,0
46,34.4400,34.6200,0.1800,57,A3,127,127,0
47,35.2200,35.2800,0.0600,50,D3,127,127,0
48,35.2800,35.3400,0.0600,50,D3,127,127,0
49,35.3400,35.4000,0.0600,50,D3,127,127,0
50,35.4000,35.7000,0.3000,50,D3,127,127,0
51,36.2400,36.8400,0.6000,55,G3,127,127,0
52,36.8400,37.4400,0.6000,54,F#3,127,127,0
53,37.4400,38.0400,0.6000,52,E3,127,127,0
54,38.0400,38.6400,0.6000,50,D3,127,127,0
55,38.6400,39.1200,0.4800,48,C3,127,127,0
56,39.1200,39.7200,0.6000,59,B3,127,127,0
57,39.7200,40.3200,0.6000,57,A3,127,127,0
58,40.3200,40.9200,0.6000,55,G3,127,127,0
59,40.9200,41.4000,0.4800,48,C3,127,127,0
60,41.4000,42.0000,0.6000,59,B3,127,127,0
61,42.0000,42.6000,0.6000,57,A3,127,127,0
62,42.6000,43.2000,0.6000,55,G3,127,127,0
63,43.2000,43.7400,0.5400,53,F3,127,127,0
64,43.7400,44.9400,1.2000,50,D3,127,127,0
65,45.4800,46.0800,0.6000,55,G3,127,127,0
66,46.0800,46.6800,0.6000,54,F#3,127,127,0
67,46.6800,47.2800,0.6000,52,E3,127,127,0
68,47.2800,47.8800,0.6000,50,D3,127,127,0
69,47.8800,48.3600,0.4800,48,C3,127,127,0
70,48.3600,48.9600,0.6000,59,B3,127,127,0
71,48.9600,49.5600,0.6000,57,A3,127,127,0
72,49.5600,50.1600,0.6000,55,G3,127,127,0
73,50.1600,50.6400,0.4800,48,C3,127,127,0
74,50.6400,51.2400,0.6000,59,B3,127,127,0
75,51.2400,51.8400,0.6000,57,A3,127,127,0
76,51.8400,52.4400,0.6000,55,G3,127,127,0
77,52.4400,52.9800,0.5400,53,F3,127,127,0
78,52.9800,54.1800,1.2000,50,D3,127,127,0
79,54.7800,55.0800,0.3000,50,D3,127,127,0
80,55.0800,55.6800,0.6000,55,G3,127,127,0
81,55.6800,56.2800,0.6000,54,F#3,127,127,0
82,56.2800,56.8800,0.6000,52,E3,127,127,0
83,56.8800,57.4800,0.6000,50,D3,127,127,0
84,57.4800,58.0800,0.6000,48,C3,127,127,0
85,58.0800,58.6800,0.6000,50,D3,127,127,0
86,58.6800,59.2800,0.6000,52,E3,127,127,0
87,59.2800,59.8800,0.6000,54,F#3,127,127,0
88,59.8800,61.0800,1.2000,55,G3,127,127,0
89,61.0800,61.1400,0.0600,55,G3,127,127,0
90,61.1400,61.2000,0.0600,55,G3,127,127,0
91,61.2000,61.2600,0.0600,55,G3,127,127,0
92,61.2600,61.3800,0.1200,55,G3,127,127,0

