# MIDI File Information
Filename,tx437pj1389-exp-tempo95.mid
Duration (seconds),584.53
Tempo Adjustment Factor,1.30
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
194,101.3831,101.7164,0.3333,51,D#3,66,33,0
195,101.7017,102.1112,0.4095,56,G#3,66,33,0
196,102.0510,102.2410,0.1900,60,C4,66,33,0
197,102.6813,103.5337,0.8525,32,G#1,66,33,0
198,102.8298,103.2540,0.4242,63,D#4,66,33,0
199,103.5137,103.9125,0.3988,39,D#2,66,33,0
200,103.9084,104.2497,0.3413,44,G#2,66,33,0
201,104.2537,104.6324,0.3787,48,C3,66,33,0
202,104.6284,105.0687,0.4403,51,D#3,66,33,0
203,104.9228,106.2223,1.2994,56,G#3,66,33,0
204,105.5518,106.0804,0.5286,60,C4,66,33,0
205,106.2932,107.1788,0.8856,66,F#4,72,36,0
206,106.9982,107.6229,0.6247,37,C#2,68,34,0
207,107.1601,107.8544,0.6943,65,F4,72,36,0
208,108.1165,108.4657,0.3491,66,F#4,70,35,0
209,108.1165,108.7065,0.5899,58,A#3,70,35,0
210,108.6289,108.9392,0.3103,65,F4,68,34,0
211,108.6463,108.9392,0.2930,56,G#3,68,34,0
212,108.9954,109.4850,0.4896,37,C#2,70,35,0
213,109.6991,110.2382,0.5391,66,F#4,70,35,0
214,109.9813,110.4615,0.4802,63,D#4,70,35,0
215,109.9893,110.5525,0.5632,54,F#3,70,35,0
216,110.5017,110.7023,0.2007,56,G#3,68,34,0
217,110.5084,110.7090,0.2007,65,F4,68,34,0
218,110.8896,111.2896,0.4000,37,C#2,70,35,0
219,111.5971,112.3968,0.7996,65,F4,70,35,0
220,111.8659,112.4810,0.6151,61,C#4,66,33,0
221,111.8806,112.2818,0.4012,53,F3,66,33,0
222,112.4034,112.6562,0.2527,54,F#3,68,34,0
223,112.4115,112.6481,0.2367,63,D#4,68,34,0
224,112.7605,113.2659,0.5055,37,C#2,68,34,0
225,112.8420,113.6443,0.8023,66,F#4,70,35,0
226,113.5935,113.9760,0.3824,60,C4,70,35,0
227,113.9158,114.2648,0.3490,56,G#3,72,36,0
228,113.9171,114.2581,0.3410,49,C#3,72,36,0
229,114.8157,115.2784,0.4627,37,C#2,68,34,0
230,114.9387,115.3506,0.4118,65,F4,72,36,0
231,115.9242,116.5298,0.6056,59,B3,76,38,0
232,116.5431,116.8399,0.2967,66,F#4,70,35,0
233,116.5512,116.8399,0.2887,58,A#3,70,35,0
234,116.9281,117.3812,0.4531,37,C#2,70,35,0
235,117.6151,118.0522,0.4371,66,F#4,70,35,0
236,117.9426,118.2901,0.3475,63,D#4,68,34,0
237,117.9426,118.5214,0.5788,54,F#3,68,34,0
238,118.5200,118.8381,0.3181,56,G#3,68,34,0
239,118.5267,118.8542,0.3275,65,F4,68,34,0
240,118.8515,119.2017,0.3502,37,C#2,72,36,0
241,119.5800,120.0612,0.4812,65,F4,72,36,0
242,119.8767,120.2403,0.3636,53,F3,74,37,0
243,119.8767,120.4755,0.5988,61,C#4,74,37,0
244,120.3993,120.7402,0.3408,54,F#3,70,35,0
245,120.4408,120.7482,0.3074,63,D#4,72,36,0
246,120.7696,121.2453,0.4757,37,C#2,70,35,0
247,120.9260,121.6207,0.6948,63,D#4,74,37,0
248,121.6261,122.8085,1.1825,65,F4,70,35,0
249,121.7517,122.4691,0.7175,49,C#3,70,35,0
250,121.8145,122.4825,0.6681,53,F3,68,34,0
251,121.8732,122.4838,0.6106,56,G#3,66,33,0
252,121.9775,122.4665,0.4890,61,C#4,72,36,0
253,122.8486,123.4859,0.6373,37,C#2,70,35,0
254,122.9288,123.5247,0.5959,65,F4,72,36,0
255,124.0324,124.5976,0.5652,66,F#4,72,36,0
256,124.0404,124.6644,0.6240,58,A#3,72,36,0
257,124.6123,124.8661,0.2539,65,F4,68,34,0
258,124.6123,124.8741,0.2619,56,G#3,68,34,0
259,124.9556,125.4914,0.5358,37,C#2,72,36,0
260,125.5262,125.8294,0.3032,66,F#4,66,33,0
261,125.8187,126.3676,0.5489,54,F#3,70,35,0
262,125.8267,126.0631,0.2364,63,D#4,70,35,0
263,126.3075,126.5466,0.2391,56,G#3,68,34,0
264,126.3316,126.5453,0.2137,65,F4,68,34,0
265,126.6815,127.0488,0.3673,37,C#2,76,38,0
266,127.3359,127.5923,0.2564,65,F4,76,38,0
267,127.5883,128.0945,0.5062,53,F3,72,36,0
268,127.6057,128.1119,0.5062,61,C#4,70,35,0
269,128.0932,128.3176,0.2244,54,F#3,66,33,0
270,128.1012,128.3095,0.2083,63,D#4,66,33,0
271,128.2735,128.9506,0.6771,66,F#4,70,35,0
272,128.4645,129.1162,0.6518,37,C#2,74,37,0
273,129.1990,129.5823,0.3833,60,C4,72,36,0
274,129.6050,130.0618,0.4568,56,G#3,72,36,0
275,129.6050,130.0952,0.4902,49,C#3,72,36,0
276,130.5239,131.0539,0.5300,37,C#2,70,35,0
277,130.6280,130.9364,0.3084,65,F4,72,36,0
278,131.5986,132.2234,0.6248,59,B3,70,35,0
279,132.2287,132.4063,0.1776,66,F#4,68,34,0
280,132.2381,132.4143,0.1762,58,A#3,68,34,0
281,132.5852,132.9523,0.3671,37,C#2,72,36,0
282,133.0044,133.1446,0.1402,66,F#4,70,35,0
283,133.6052,133.8895,0.2844,54,F#3,70,35,0
284,133.6065,133.8735,0.2670,63,D#4,70,35,0
285,134.1458,134.3675,0.2216,56,G#3,68,34,0
286,134.1539,134.3755,0.2216,65,F4,68,34,0
287,134.5143,135.0630,0.5487,37,C#2,72,36,0
288,134.9122,135.0857,0.1736,65,F4,68,34,0
289,135.5289,136.0627,0.5338,61,C#4,74,37,0
290,135.5369,136.0707,0.5338,53,F3,74,37,0
291,136.0853,136.4176,0.3323,63,D#4,70,35,0
292,136.0853,136.4256,0.3403,54,F#3,70,35,0
293,136.6245,136.9795,0.3550,37,C#2,72,36,0
294,137.3398,138.1498,0.8100,65,F4,72,36,0
295,137.4986,138.2245,0.7260,49,C#3,70,35,0
296,137.5693,138.1578,0.5885,53,F3,68,34,0
297,137.6280,138.1672,0.5391,56,G#3,66,33,0
298,137.7108,138.1405,0.4297,61,C#4,72,36,0
299,138.7597,139.2361,0.4764,34,A#1,70,35,0
300,138.8251,139.3575,0.5325,61,C#4,72,36,0
301,139.3976,139.7552,0.3576,65,F4,70,35,0
302,139.6671,139.9581,0.2909,53,F3,66,33,0
303,139.6765,140.2076,0.5311,61,C#4,66,33,0
304,140.1209,140.2889,0.1681,63,D#4,66,33,0
305,140.1289,140.2956,0.1667,58,A#3,66,33,0
306,140.5504,140.9639,0.4135,41,F2,72,36,0
307,141.0840,141.2961,0.2121,65,F4,72,36,0
308,141.3735,141.9284,0.5549,56,G#3,68,34,0
309,141.3815,141.6456,0.2641,65,F4,68,34,0
310,141.8083,141.9271,0.1187,53,F3,66,33,0
311,141.8177,141.9284,0.1107,60,C4,66,33,0
312,142.1552,142.6928,0.5376,42,F#2,70,35,0
313,142.2139,142.7008,0.4869,61,C#4,72,36,0
314,142.7541,143.0262,0.2721,66,F#4,72,36,0
315,143.0423,143.4891,0.4469,61,C#4,68,34,0
316,143.0423,143.4891,0.4469,54,F#3,68,34,0
317,143.4931,143.7879,0.2948,63,D#4,66,33,0
318,143.4931,143.7879,0.2948,58,A#3,66,33,0
319,143.8493,144.2868,0.4375,37,C#2,70,35,0
320,144.4563,144.7391,0.2828,65,F4,70,35,0
321,144.7937,145.2898,0.4961,56,G#3,66,33,0
322,144.8018,145.2392,0.4374,65,F4,66,33,0
323,145.2512,145.6352,0.3840,53,F3,66,33,0
324,145.2525,145.6259,0.3734,61,C#4,66,33,0
325,145.6005,146.0246,0.4240,37,C#2,68,34,0
326,145.6912,146.2486,0.5574,64,E4,70,35,0
327,146.5193,146.9500,0.4307,56,G#3,70,35,0
328,146.5273,146.9406,0.4134,64,E4,70,35,0
329,146.9553,147.2966,0.3414,61,C#4,66,33,0
330,147.3193,147.7473,0.4280,47,B2,70,35,0
331,147.3287,147.7487,0.4200,35,B1,72,36,0
332,148.1700,148.6007,0.4307,63,D#4,70,35,0
333,148.6047,148.8328,0.2280,66,F#4,66,33,0
334,148.6061,148.8341,0.2280,59,B3,66,33,0
335,148.9301,149.4088,0.4787,40,E2,68,34,0
336,148.9834,149.3981,0.4147,52,E3,70,35,0
337,148.9914,149.4901,0.4987,64,E4,70,35,0
338,149.8088,150.2353,0.4265,56,G#3,70,35,0
339,149.8168,150.2420,0.4252,64,E4,70,35,0
340,150.2087,150.5499,0.3412,59,B3,66,33,0
341,150.5646,151.0124,0.4479,47,B2,70,35,0
342,150.5752,151.0151,0.4399,35,B1,70,35,0
343,151.3936,151.7922,0.3985,63,D#4,72,36,0
344,151.7815,151.9734,0.1919,66,F#4,66,33,0
345,151.7908,151.9748,0.1839,59,B3,66,33,0
346,152.1187,152.6212,0.5025,52,E3,72,36,0
