# MIDI File Information
Filename,Bond.mid
Duration (seconds),111.07
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),480

# Tempo Changes
Time (s),Tempo (BPM)
0.0000,143.00

# Instrument 1: Sequence*Demixed 02
Bank,Program,Program Name,Is Drum
0,35,Fretless Bass,False
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Original Velocity,Note-off Velocity
14,16.1468,16.3243,0.1774,42,F#2,111,111,0
15,16.3610,16.5559,0.1949,42,F#2,124,124,0
16,16.5664,16.7456,0.1792,42,F#2,108,108,0
17,16.7745,16.9755,0.2010,40,E2,127,127,0
18,16.9886,17.0542,0.0656,42,F#2,96,96,0
19,17.0909,17.1547,0.0638,42,F#2,111,111,0
20,17.1853,17.3776,0.1923,42,F#2,127,127,0
21,17.4038,17.7928,0.3890,42,F#2,125,125,0
22,17.8208,18.0070,0.1862,40,E2,115,115,0
23,18.0288,18.2185,0.1897,40,E2,126,126,0
24,18.2404,18.4239,0.1836,40,E2,115,115,0
25,18.4545,18.6162,0.1617,40,E2,127,127,0
26,18.6626,18.7194,0.0568,43,G2,99,99,0
27,18.7631,18.8330,0.0699,43,G2,110,110,0
28,18.8479,19.0620,0.2142,43,G2,127,127,0
29,19.0839,19.4405,0.3566,43,G2,119,119,0
30,19.5061,19.6696,0.1635,42,F#2,118,118,0
31,19.7115,19.8951,0.1836,42,F#2,127,127,0
32,19.9231,20.1092,0.1862,42,F#2,116,116,0
33,20.1372,20.3208,0.1836,40,E2,127,127,0
34,20.3409,20.4064,0.0656,42,F#2,97,97,0
35,20.4370,20.5070,0.0699,42,F#2,117,117,0
36,20.5288,20.7141,0.1853,42,F#2,127,127,0
37,20.7430,21.1556,0.4126,42,F#2,124,124,0
38,21.1818,21.3724,0.1906,40,E2,99,99,0
39,21.3872,21.5839,0.1967,40,E2,127,127,0
40,21.6014,21.7788,0.1774,40,E2,107,107,0
41,21.8112,21.9930,0.1818,40,E2,127,127,0
42,22.0210,22.0953,0.0743,43,G2,89,89,0
43,22.1215,22.1984,0.0769,43,G2,117,117,0
44,22.2334,22.4012,0.1678,43,G2,127,127,0
45,22.4405,22.8321,0.3916,43,G2,125,125,0
46,22.8627,23.0393,0.1766,42,F#2,105,105,0
47,23.0699,23.2098,0.1399,41,F2,126,126,0
48,23.2779,23.4502,0.1722,40,E2,127,127,0
49,26.8505,27.0323,0.1818,40,E2,127,127,0
50,27.0585,27.1521,0.0935,42,F#2,93,93,0
51,27.1608,27.2465,0.0857,42,F#2,107,107,0
52,27.2613,27.4624,0.2010,42,F#2,127,127,0
53,27.4694,27.8409,0.3715,42,F#2,119,119,0
54,27.8951,28.0961,0.2010,40,E2,105,105,0
55,28.1031,28.2867,0.1836,40,E2,127,127,0
56,28.3103,28.4834,0.1731,40,E2,115,115,0
57,28.5244,28.6975,0.1731,40,E2,127,127,0
58,28.7386,28.7937,0.0551,43,G2,88,88,0
59,28.8243,28.8960,0.0717,43,G2,118,118,0
60,28.9204,29.1215,0.2010,43,G2,127,127,0
61,29.1451,29.5192,0.3741,43,G2,125,125,0
62,29.5760,29.7613,0.1853,42,F#2,116,116,0
63,29.7902,29.9519,0.1617,42,F#2,125,125,0
64,29.9869,30.1704,0.1836,42,F#2,110,110,0
65,30.2028,30.3890,0.1862,40,E2,125,125,0
66,30.4126,30.4694,0.0568,42,F#2,96,96,0
67,30.4956,30.5682,0.0726,42,F#2,116,116,0
68,30.5918,30.7797,0.1879,42,F#2,127,127,0
69,30.8085,31.2281,0.4196,42,F#2,123,123,0
70,31.2648,31.4528,0.1879,40,E2,114,114,0
71,31.4790,31.6695,0.1906,40,E2,127,127,0
72,31.6713,31.8592,0.1879,40,E2,121,121,0
73,31.8837,32.0323,0.1486,40,E2,127,127,0
74,32.0804,32.1416,0.0612,43,G2,98,98,0
75,32.1722,32.2377,0.0656,43,G2,112,112,0
76,32.2701,32.4493,0.1792,43,G2,125,125,0
77,32.4694,32.8671,0.3977,43,G2,127,127,0
78,32.9126,33.0961,0.1836,42,F#2,114,114,0
79,33.1250,33.3059,0.1809,42,F#2,123,123,0
80,33.3365,33.5157,0.1792,42,F#2,115,115,0
81,33.5445,33.7473,0.2028,40,E2,127,127,0
82,33.7692,33.8348,0.0656,42,F#2,97,97,0
83,33.8723,33.9571,0.0848,42,F#2,117,117,0
84,33.9746,34.1783,0.2037,42,F#2,127,127,0
85,34.1827,34.5778,0.3951,42,F#2,123,123,0
86,34.6171,34.7919,0.1748,40,E2,105,105,0
87,34.8295,35.0087,0.1792,40,E2,127,127,0
88,35.0279,35.2159,0.1879,40,E2,108,108,0
89,35.2421,35.4082,0.1661,40,E2,127,127,0
90,35.4431,35.5026,0.0594,43,G2,94,94,0
91,35.5306,35.6005,0.0699,43,G2,115,115,0
92,35.6355,35.8059,0.1705,43,G2,127,127,0
93,35.8496,36.2517,0.4021,43,G2,123,123,0
94,36.2998,36.5096,0.2098,42,F#2,114,114,0
95,36.5122,36.7063,0.1941,41,F2,127,127,0
96,36.7089,36.8942,0.1853,40,E2,118,118,0
97,87.2700,87.4518,0.1818,40,E2,127,127,0
98,87.4781,87.5716,0.0935,42,F#2,93,93,0
99,87.5803,87.6660,0.0857,42,F#2,107,107,0
100,87.6809,87.8819,0.2010,42,F#2,127,127,0
